p_id,session,age,group,corsi_acc_t,corsi_max_wm_t,totalsessions,trainingslope,Fssrtnr_t,ay_bx_error_t,PBI_error_t,cf_switch_acc_t,psedooneFArate_t,psedotwoFArate_t,stroop_error_t,flankerswitch_error_t,flank_inh_error_t
56,0,9.0527782,2,.5,7,12,2.0144694,250.69231,.083333336,.33329782,0,0,0,.11111111,.27380955,.055263158
56,1,9.0527782,2,.5,6,12,2.0144694,107.75,0,0,-17.647057,,,,,
56,2,9.0527782,2,,,12,2.0144694,,,,,,,,,
57,0,8.9083338,2,.5,6,12,1.1023194,284.76923,-.83333331,-.90475464,-5.2631607,.035714287,.14285715,.11111111,.33333334,.2
57,1,8.9083338,2,.5,7,12,1.1023194,174.69231,.15909091,.46666667,9.0909119,0,.17857143,.055555556,.083333313,.10526316
57,2,8.9083338,2,.5,6,12,1.1023194,283.66666,-.083333336,-.33329782,-4.072403,,,,,
58,0,7.6527777,2,.42857143,5,30,-11.854069,254.30769,.083333336,.33333334,-6.6985626,.21428572,.071428575,-.19444445,.15476194,.099999994
58,1,7.6527777,2,.42857143,5,30,-11.854069,323.23077,0,0,9.0909119,.035714287,.035714287,.11111111,.083333313,-.050000001
58,2,7.6527777,2,.42857143,6,30,-11.854069,,.16666667,.59997439,5.429863,,,,,
59,0,7.5805554,1,.35714287,4,14,-16.192995,336,.045454532,.047619034,-26.315788,.25,.071428575,.11111113,.059523821,.050000004
59,1,7.5805554,1,.35714287,5,14,-16.192995,221,-.30000001,-.42857143,-27.751194,.14285715,0,-.1111111,-.14285713,.29999998
59,2,7.5805554,1,,,14,-16.192995,,,,,,,,,
60,0,6.7861109,1,.42857143,4,10,-88.592064,189,0,0,6.2200928,0,.25,.1388889,.047619045,.2
60,1,6.7861109,1,,,10,-88.592064,,,,,,,,,
60,2,6.7861109,1,,,10,-88.592064,,,,,,,,,
61,0,9.6499996,1,.42857143,4,17,2.781496,234,.40151513,.52475244,-5.2631607,.10714286,.25,-.027777791,.29761907,.01111111
